activation,seed,best_val_loss,best_iteration,final_train_loss,final_val_loss,final_val_perplexity,total_seconds,closed_fraction,transition_fraction,open_fraction,trainable_beta
gelu,1,1.9371746301651,10000,1.7571746921539306,1.9317216110229491,6.901381514280739,2355.225848848,,,,
relu,1,1.9485818767547607,10000,1.7759993481636047,1.9452641344070434,6.995479357819863,2310.38634738,,,,
silu,1,1.9876059818267822,10000,1.8327366137504577,1.9822725296020507,7.2592210493475635,2327.6080151779997,,,,
dgelu,1,1.9995428347587585,10000,1.8467913746833802,1.9947304606437684,7.350221586869939,3308.0766147549984,,,,
uelu,1,1.9392525792121886,10000,1.7544360160827637,1.9333274126052857,6.912472666348147,2602.4131449449997,0.5041982928911845,0.4602085279093848,0.035593179199430676,
tuelu,1,1.929696855545044,10000,1.7403987097740172,1.9245281195640564,6.851914618460124,2745.146801769999,0.3467225193977356,0.6413384212387933,0.011939059363471137,0.7965838313102722
uelu3,1,2.024882414340973,10000,1.8792461490631103,2.0192477393150328,7.532656280603558,2612.3048592039995,0.02918476793501112,0.9705341610643599,0.00028107100062900117,
gelu,2,1.9307675790786742,10000,1.7588777351379394,1.9411097025871278,6.966477400819461,2324.8262941760004,,,,
relu,2,1.9460036516189576,10000,1.7802749156951905,1.9556657552719117,7.068623430849765,2304.0940667819996,,,,
silu,2,1.9833283162117004,10000,1.8345408034324646,1.9926703405380248,7.335094834410543,2322.157508715998,,,,
dgelu,2,1.9969039034843445,10000,1.849551372528076,2.0077398872375487,7.446468455901722,3305.4988232840005,,,,
uelu,2,1.9307443857192994,10000,1.7552401757240295,1.9409896230697632,6.965640919798563,2599.712675556999,0.5014774322509765,0.46279676622814603,0.03572580152087741,
tuelu,2,1.9212606549263,10000,1.7414855980873107,1.931880533695221,6.902478387430053,2742.6943824150003,0.3437332888444265,0.6443511446317037,0.011915566523869832,0.792254626750946
uelu3,2,2.0194256353378295,10000,1.8829467153549195,2.0297042965888976,7.6118351803282325,2610.4980508309964,0.027642826239267986,0.972128474050098,0.00022869971063401963,
gelu,3,1.931753146648407,10000,1.765092511177063,1.9393145537376404,6.9539827551581865,2322.9266808340035,,,,
relu,3,1.9441414022445678,10000,1.7819186234474182,1.9532964062690734,7.051895220282711,2303.4759169980025,,,,
silu,3,1.9791282415390015,10000,1.8347055172920228,1.9858814668655396,7.285466453218527,2325.4310664239965,,,,
dgelu,3,1.9896953439712524,10000,1.845600621700287,1.9970195555686951,7.3670662139212535,3309.297596368,,,,
uelu,3,1.9378146719932556,10000,1.7668057107925415,1.9468069458007813,7.006280392915325,2605.915835360007,0.513126653432846,0.4521340933110979,0.03473925325605604,
tuelu,3,1.9293952250480653,10000,1.7533841037750244,1.9378722190856934,6.943960014671886,2736.1878058859947,0.35943848225805497,0.6279877927568224,0.012573724985122681,0.782255232334137
uelu3,3,2.011858355998993,10000,1.8766783928871156,2.018680205345154,7.528382455166169,2608.727788921002,0.027543189790513782,0.972193353705936,0.0002634565035502116,
